LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 12338.0, 1792, 18.0, 128.0, 7104, 255.0, 12417.0, 774400, -30976.0, -1.0, 1548800, -285.0, -1.0, 14250, 12481.0, 27968.0, 774400,
1, 129.0, 12985.0, 3072, 1.0, 10022.0, 27648, 255.0, 13127.0, 746496, -29860.0, -1.0, 1493000, -1106.0, -1.0, 55300, 13191.0, 28120.0, 746496,
2, 129.0, 12985.0, 3072, 1.0, 10022.0, 27648, 255.0, 13127.0, 746496, -29860.0, -1.0, 1493000, -1106.0, -1.0, 55300, 13191.0, 28120.0, 746496,
3, 129.0, 12985.0, 3072, 1.0, 10022.0, 27648, 255.0, 13127.0, 746496, -29860.0, -1.0, 1493000, -1106.0, -1.0, 55300, 13191.0, 28120.0, 746496,
4, 129.0, 12985.0, 3072, 1.0, 10022.0, 27648, 255.0, 13127.0, 746496, -29860.0, -1.0, 1493000, -1106.0, -1.0, 55300, 13191.0, 28120.0, 746496,
5, 129.0, 4429.0, 3072, 1.0, 3626.0, 55296, 255.0, 4663.0, 401408, -8029.0, -1.0, 401450, -1106.0, -1.0, 55300, 4663.0, 12691.0, 401408,
6, 129.0, 7247.0, 5376, 1.0, 6476.0, 110592, 255.0, 7405.0, 605696, -12114.0, -1.0, 605700, -2212.0, -1.0, 110600, 7405.0, 19518.0, 605696,
7, 129.0, 986.0, 256, 81.0, 128.0, 6144, 255.0, 1222.0, 107648, -2153.0, -1.0, 107650, -123.0, -1.0, 6150, 1222.0, 3374.0, 107648,
8, 129.0, 7247.0, 5376, 1.0, 6476.0, 110592, 255.0, 7405.0, 605696, -12114.0, -1.0, 605700, -2212.0, -1.0, 110600, 7405.0, 19518.0, 605696,
9, 129.0, 7247.0, 5376, 1.0, 6476.0, 110592, 255.0, 7405.0, 605696, -12114.0, -1.0, 605700, -2212.0, -1.0, 110600, 7405.0, 19518.0, 605696,
10, 129.0, 7919.0, 10752, 1.0, 7642.0, 221184, 255.0, 8091.0, 351232, -3513.0, -1.0, 175650, -4424.0, -1.0, 221200, 8091.0, 15115.0, 351232,
11, 129.0, 14537.0, 21504, 1.0, 14330.0, 442368, 255.0, 14727.0, 516096, -5161.0, -1.0, 258050, -8848.0, -1.0, 442400, 14727.0, 25048.0, 516096,
12, 129.0, 1039.0, 512, 33.0, 735.0, 24576, 255.0, 1213.0, 57600, -576.0, -1.0, 28800, -492.0, -1.0, 24600, 1213.0, 2364.0, 57600,
13, 129.0, 14537.0, 21504, 1.0, 14330.0, 442368, 255.0, 14727.0, 516096, -5161.0, -1.0, 258050, -8848.0, -1.0, 442400, 14727.0, 25048.0, 516096,
14, 129.0, 14537.0, 21504, 1.0, 14330.0, 442368, 255.0, 14727.0, 516096, -5161.0, -1.0, 258050, -8848.0, -1.0, 442400, 14727.0, 25048.0, 516096,
15, 129.0, 23938.0, 43008, 1.0, 23833.0, 884736, 255.0, 24135.0, 351232, -1757.0, -1.0, 87850, -17695.0, -1.0, 884750, 24135.0, 31159.0, 351232,
16, 129.0, 43829.0, 82944, 1.0, 43677.0, 1769472, 255.0, 43955.0, 345600, -1728.0, -1.0, 86400, -35390.0, -1.0, 1769500, 43955.0, 50866.0, 345600,
17, 129.0, 3368.0, 2048, 1.0, 3250.0, 98304, 255.0, 3567.0, 65536, -328.0, -1.0, 16400, -1967.0, -1.0, 98350, 3567.0, 4877.0, 65536,
18, 129.0, 43829.0, 82944, 1.0, 43677.0, 1769472, 255.0, 43955.0, 345600, -1728.0, -1.0, 86400, -35390.0, -1.0, 1769500, 43955.0, 50866.0, 345600,
19, 129.0, 43829.0, 82944, 1.0, 43677.0, 1769472, 255.0, 43955.0, 345600, -1728.0, -1.0, 86400, -35390.0, -1.0, 1769500, 43955.0, 50866.0, 345600,
20, 129.0, 9065.0, 6144, 1.0, 8937.0, 384000, 255.0, 9167.0, 3000, -8.0, -1.0, 400, -7865.0, -1.0, 393250, 9191.0, 9250.0, 3000,
