LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 5032.0, 296.0, 0.01626552368392131,
1, ellpack_block, 36864, 19584.0, 1152.0, 0.022607740010989873,
2, ellpack_block, 36864, 19584.0, 1152.0, 0.022607740010989873,
3, ellpack_block, 36864, 19584.0, 1152.0, 0.022607740010989873,
4, ellpack_block, 36864, 19584.0, 1152.0, 0.022607740010989873,
5, ellpack_block, 73728, 39168.0, 2304.0, 0.15379480675522328,
6, ellpack_block, 147456, 78336.0, 4608.0, 0.11690980591145503,
7, ellpack_block, 8192, 4352.0, 256.0, 0.11526339486717695,
8, ellpack_block, 147456, 78336.0, 4608.0, 0.11690980591145503,
9, ellpack_block, 147456, 78336.0, 4608.0, 0.11690980591145503,
10, ellpack_block, 294912, 156672.0, 9216.0, 0.11900980126292954,
11, ellpack_block, 589824, 313344.0, 18432.0, 0.08388591297382661,
12, ellpack_block, 32768, 17408.0, 1024.0, 0.7314285714285714,
13, ellpack_block, 589824, 313344.0, 18432.0, 0.08388591297382661,
14, ellpack_block, 589824, 313344.0, 18432.0, 0.08388591297382661,
15, ellpack_block, 1179648, 626688.0, 36864.0, 0.04033516350052848,
16, ellpack_block, 2359296, 1253376.0, 73728.0, 0.01871196372323613,
17, ellpack_block, 131072, 69632.0, 4096.0, 0.25881460887147734,
18, ellpack_block, 2359296, 1253376.0, 73728.0, 0.01871196372323613,
19, ellpack_block, 2359296, 1253376.0, 73728.0, 0.01871196372323613,
20, ellpack_block, 512000, 272000.0, 16000.0, 0.023008042748943427,
